variable,type,data_set
identifier,object,observations
occurrence_datetime,object,observations
day_of_week,object,observations
occurrence_month,object,observations
occurrence_day,float64,observations
occurrence_year,float64,observations
occurrence_hour,int64,observations
compstat_month,float64,observations
compstat_day,float64,observations
compstat_year,float64,observations
offense,object,observations
sector,object,observations
precinct,int64,observations
borough,object,observations
jurisdiction,object,observations
xcoordinate,int64,observations
ycoordinate,int64,observations
location_1,object,observations
occurrence_date,object,observations
lat,float64,observations
long,float64,observations
is_manhattan,bool,observations
is_ny_police,bool,observations
response,object,observations
is_grand_larceny,bool,observations
max_probability,float64,observations
prediction_index,int64,observations
modeling_prediction,object,observations
